#{"t_start": 1765489099.0163326, "env_id": "None"}
r,l,t
-278.852179,676,465.191152
-285.129429,592,465.536232
-136.081543,800,465.977578
-106.271156,800,468.103999
-62.993232,800,468.641359
-238.562222,800,470.393508
-64.502151,800,470.781509
-49.108978,800,471.174424
-7.661225,800,472.74472
-206.001601,800,473.147869
-15.51754,800,474.73387
-90.947944,340,474.933195
-123.019878,800,475.325844
-117.425193,474,475.568229
-147.276073,800,477.07636
-60.108504,800,477.430843
-81.444133,800,477.767885
-0.789954,300,479.007442
-56.083106,800,479.36728
-37.111089,800,479.767541
-146.958843,578,481.358045
-63.62735,800,481.783098
-33.448508,800,482.18254
9.3561,327,483.40898
1.507556,300,483.555901
-38.624614,800,483.898835
-13.964991,191,483.994871
-69.058056,800,485.658985
-153.419612,800,486.062651
-41.754024,800,486.456306
-69.097515,800,488.241118
-121.4373,800,488.621958
-80.736152,800,490.315271
13.097948,366,490.530284
-31.341669,800,491.00199
-128.17719,800,492.808362
-521.139521,800,493.179967
-147.682858,800,493.546273
-33.963244,800,495.212641
-39.699531,800,495.600811
-69.92855,800,497.424747
-68.111654,800,497.843859
-80.370825,437,498.040894
-44.833611,800,499.530582
-25.269475,800,499.929577
-93.808585,393,500.089796
-85.880892,800,500.422876
-72.35454,800,501.981335
-215.938513,800,502.441301
-46.455505,800,504.105896
-88.470675,800,504.467097
-50.261192,800,504.887437
-30.59378,168,506.089013
-44.258681,800,506.518514
6.069565,800,506.893608
-3.689933,800,508.444423
16.276276,800,508.824406
32.716831,800,509.212662
7.500534,800,510.751111
-68.208703,382,510.920996
-71.346917,398,511.126103
-65.643247,534,511.36267
-39.729391,800,513.026205
-28.18715,800,513.414909
-90.253908,800,515.274386
-39.516854,800,515.682254
-62.690501,800,516.041554
-147.719644,800,517.619557
-165.786621,800,518.01468
-100.298702,800,519.505397
-123.791758,800,519.881153
-33.361337,800,520.229652
-151.955951,800,521.72111
-69.87644,800,522.085773
-4.009263,800,523.799786
-53.828597,800,524.231119
-7.030851,800,524.66027
-67.697304,800,526.272498
-81.586573,800,526.63063
6.123389,800,528.167102
-52.081487,800,528.569994
-24.854892,800,528.992399
-207.105911,800,530.593234
-14.942948,800,530.952002
-7.936833,800,531.297157
-39.512577,800,532.814269
-102.077751,800,533.187187
-36.090659,800,534.709465
-18.269467,800,535.090534
-68.486642,800,535.48569
-40.28084,800,537.086078
64.330146,800,537.708294
-106.662058,800,539.686196
-11.430253,800,540.202463
4.301337,800,540.611207
3.367638,800,542.161843
-9.164385,800,542.647494
-47.534132,800,544.654226
70.269527,800,545.153499
-171.042366,800,545.536429
59.700438,800,547.091496
-93.040867,800,547.454772
-65.927639,800,548.905499
-10.005172,800,549.374927
-48.534601,800,549.783421
2.250497,800,551.34497
-155.99816,800,551.735727
-272.344878,800,552.134256
-13.241749,800,553.691547
-0.250321,800,554.06179
-56.889372,800,555.53729
20.467841,800,555.951625
-82.790758,800,556.340334
24.705013,800,557.844872
-87.029918,800,558.246786
26.857084,800,559.695715
-38.161441,800,560.15276
-77.879383,800,560.517685
-38.716482,800,562.105325
-59.902486,800,562.474379
-23.105059,800,564.098724
23.483366,361,564.303142
39.371112,800,564.67421
-62.310317,800,565.02048
-27.529897,800,566.518435
-53.781752,800,567.035682
-10.167869,800,568.591037
-9.60626,800,568.957486
-60.847779,800,569.333293
-34.633732,800,570.943455
7.1066,800,571.335606
-50.491559,800,572.880052
-76.897511,800,573.265426
-39.86654,800,573.640298
9.627341,800,575.19884
-52.800068,800,575.802679
-85.104196,800,577.776278
-40.107097,800,578.343755
-53.15844,800,578.900161
25.753481,800,580.750699
47.534902,800,581.177167
43.10733,800,582.884906
-30.167352,800,583.329657
-55.917066,800,583.743784
9.840901,800,585.815989
-38.206883,800,586.4083
38.742205,800,586.99556
-88.289876,800,589.413649
-29.953128,800,589.875364
-41.688742,800,591.617592
-12.840368,800,592.012223
-55.805319,800,592.414062
-93.347841,800,594.056186
-31.947364,800,594.555646
31.577164,800,596.540797
35.600593,483,596.897182
14.06068,800,597.445997
-2.120588,800,600.744778
0.163223,800,601.525104
-15.59236,800,601.977456
-29.098208,800,604.121602
-87.074769,800,604.577206
-34.373346,800,606.339369
-106.428577,800,606.856105
-84.891084,800,607.329254
-39.636205,800,609.162543
-27.974275,685,609.569478
22.560538,800,610.033134
31.299163,800,611.58305
-107.465596,800,612.026141
-23.923872,800,613.557139
11.598718,800,613.907187
-35.109972,800,614.312792
-120.847793,800,615.998113
-65.709819,800,616.409221
-88.71349,800,617.96433
15.124432,800,618.378
31.627098,800,618.819282
-36.302138,800,620.627245
-25.723041,800,621.033317
-50.26967,800,622.575419
-6.867955,800,622.973331
45.548427,800,623.461057
5.435841,800,625.01528
-2.179036,800,625.377332
-25.851492,800,626.964953
-94.152456,800,627.369975
-22.071367,800,627.724177
-73.958062,800,629.29821
12.399506,800,629.659406
-9.153749,800,630.039956
-90.883899,800,631.572752
-19.263958,800,631.968216
-29.568143,800,633.483672
-53.142662,800,633.862087
25.982908,800,634.245545
-26.287453,800,635.750555
-87.648596,800,636.111412
-36.775497,800,637.582135
-28.73287,800,637.967024
0.467395,800,638.329767
-42.742496,800,639.837061
23.255889,372,640.045808
-58.943552,800,640.422026
-118.152314,800,642.256967
-91.240035,800,642.673952
-75.538722,800,644.151314
-46.322967,800,644.57624
21.446085,800,644.942799
-49.909973,800,646.475215
-141.209798,800,646.845371
-13.661306,800,647.203585
-40.177746,800,648.791325
-11.283949,800,649.170516
14.532618,800,650.668999
-16.42735,800,651.061518
-11.562417,800,651.397263
-13.04859,800,652.932487
1.202797,800,653.408884
4.735741,800,655.050624
75.916584,800,655.472629
93.764956,800,655.859455
-23.96682,800,657.5344
27.902115,800,657.894077
-46.986234,800,659.587651
6.998274,800,660.250526
60.784931,800,660.708136
-31.83664,800,662.423628
-63.349319,800,662.796184
-2.488803,800,663.16875
-21.062651,800,664.663491
2.118423,800,665.057068
-30.746459,800,667.070605
-39.209499,800,667.643639
14.864673,312,667.875586
1.240997,800,669.685043
-16.536126,800,670.173544
-31.334293,800,670.597771
-132.016662,800,672.751756
-164.654009,800,673.175121
3.654736,290,673.307856
-26.588055,800,675.457524
5.410242,554,675.751617
-102.22936,800,676.252297
-96.603691,800,678.008646
-55.025386,800,678.548759
-18.319249,800,680.110265
-122.797672,800,680.558985
-6.517084,800,680.934525
-32.541171,800,682.701915
-91.268429,800,683.10211
38.714766,800,683.479799
46.862826,800,685.063923
-46.590047,800,685.414753
30.546978,800,687.199615
-11.593909,800,687.797326
-42.820002,800,688.603183
9.167322,800,691.224036
4.708964,292,691.4131
26.479739,800,691.904135
-41.177064,800,693.560001
-22.248491,800,693.917934
22.687751,512,694.137405
-139.979988,800,695.762946
19.111975,406,696.051294
-59.881141,800,696.485882
12.186126,800,698.157772
18.891589,434,698.461264
-0.388824,374,698.694657
-57.654619,800,700.562423
-62.014218,800,701.146968
-30.21612,715,701.501646
27.053169,800,703.492041
-13.851736,800,704.012229
-108.5993,800,704.811028
21.850442,800,706.73346
-61.907115,800,707.237556
33.111888,412,707.44696
22.187133,347,709.074099
11.685021,332,709.253812
-32.949932,800,709.63213
-10.268453,800,711.499295
10.982003,800,711.979894
15.501397,800,712.522228
-46.536835,800,714.818243
-19.286877,800,715.549013
-54.699245,800,716.063089
-47.704767,800,718.108566
-37.374987,800,718.592228
-43.918323,800,720.399985
13.954365,800,720.892854
-29.934855,587,721.234804
30.176661,800,722.896103
0.882437,286,723.034759
26.472597,800,723.410084
-10.298092,800,725.033497
27.224357,800,725.409379
32.375442,417,725.603397
10.861774,800,727.3124
18.514982,324,727.472895
24.518332,370,727.650149
1.621618,800,728.030036
-60.417971,800,729.93697
-37.189787,800,730.538073
-177.701862,800,732.245153
13.976411,800,732.621127
24.390935,800,732.966872
-23.483904,262,733.10304
-55.005679,800,734.538901
-44.47289,800,734.885888
-30.582306,800,736.454621
-13.135163,380,736.673696
34.9359,800,737.065223
-11.602349,800,738.907343
4.27496,261,739.108089
-30.304713,800,739.62728
2.043982,259,739.806137
-15.058685,800,742.075603
6.647938,800,742.717137
5.835158,800,743.248938
-98.010183,800,745.149781
-3.203256,800,745.685357
-1.955354,800,747.719257
4.939806,298,747.942734
-26.430469,800,748.421542
8.222284,272,748.567069
-8.489981,800,750.209919
44.907613,483,750.436039
-7.872194,800,750.827142
17.73389,800,752.221186
-1.135905,800,752.600766
-32.945176,643,752.890583
-38.103932,800,754.351221
-25.977529,800,754.768971
-5.826733,800,756.273607
-40.686432,800,756.6818
-16.230484,800,757.037355
-15.495272,415,758.366835
-90.503578,800,758.755736
-177.691825,800,759.162329
-180.180179,800,760.756974
-298.648606,800,761.181341
28.702934,401,761.379338
-481.261321,800,763.075374
-145.636434,800,763.437496
-166.764745,800,763.795042
-269.211938,800,765.365098
-539.12715,800,765.752267
-89.892701,800,767.230906
-163.156887,800,767.668459
-42.525585,800,768.117101
-20.137348,800,769.92959
9.983926,800,770.357141
22.610666,800,771.911085
-23.486559,800,772.315876
-74.872876,800,772.683949
-24.486759,800,774.188834
-96.444685,800,774.553536
-36.042958,800,776.001185
-14.773752,800,776.404086
-43.710316,800,776.779001
-8.515732,244,776.892379
1.897666,800,778.39726
16.047271,428,778.577898
-7.303069,324,778.721676
-107.367145,630,778.992501
2.515213,279,780.101858
-59.411909,800,780.673491
5.257717,800,781.176301
-4.490372,800,783.078414
-153.548104,800,783.418613
-35.888765,800,784.893624
-47.859088,800,785.310869
-68.878279,800,785.663643
4.7205,800,787.28401
-14.949385,800,788.008195
-29.887681,800,789.780031
-21.44518,800,790.244776
-52.718123,800,790.658229
26.25519,418,792.497779
-45.434007,800,792.94699
-9.29342,800,793.379452
38.929841,800,795.170139
-5.357027,800,795.989634
-24.998995,800,796.517951
4.551932,800,798.490402
7.821539,800,798.981082
-67.551906,800,801.002484
-47.908365,800,801.493494
-29.722587,800,801.992708
10.412991,281,803.432566
-40.01437,800,803.914772
2.037296,800,804.346777
64.702572,800,805.903193
-52.429307,800,806.253155
-18.761443,800,807.722867
-21.201682,800,808.161662
-38.069615,800,808.62095
-16.260708,800,810.29022
-22.056142,800,810.721418
-93.819811,800,811.104972
3.376738,322,812.587744
-7.67568,241,812.75363
-15.485529,176,812.897944
-89.457095,800,813.495229
-44.561778,800,815.386239
-22.693454,800,815.865118
-37.102142,800,816.331248
-14.07497,201,816.425889
13.261827,800,818.172379
-27.06432,800,818.63878
-90.735389,800,820.342185
-82.473633,800,820.742254
-8.289962,800,821.139232
3.428885,263,822.640053
15.720063,331,822.834913
-15.710697,800,823.316752
8.484216,277,823.491662
-52.779541,800,825.93019
-49.861907,800,826.571551
-92.287109,800,827.109652
4.440414,274,828.550167
-18.624146,800,828.956189
-36.009871,800,829.320655
-87.58021,800,830.886083
7.710781,313,831.033109
-90.566021,800,831.408538
-23.228381,800,832.968981
-1.016705,246,833.088958
-2.8985,800,833.464441
-43.362622,800,835.065587
3.770129,276,835.209861
-20.948877,800,835.580903
-32.37242,800,835.957673
-29.8626,800,837.536066
3.900228,270,837.654201
-7.125423,800,838.20703
-11.10181,800,840.01117
2.707552,283,840.175811
-34.88011,800,840.630573
25.133683,378,842.443824
-49.785404,800,842.919993
3.039433,800,843.360258
-30.265197,800,844.93093
0.406076,800,845.315273
-37.820249,800,845.701956
22.353499,800,847.310672
-25.568351,800,847.74559
41.185857,800,849.598053
-22.161867,800,849.980893
-22.104149,800,850.390749
13.932989,800,851.97846
2.060774,800,852.345186
-12.13252,800,853.788647
4.546894,800,854.380289
-19.829592,800,854.857255
52.344612,800,856.600777
48.818613,800,856.956874
13.938665,800,858.690202
-37.830247,800,859.15277
27.925597,800,859.691112
63.995904,800,861.43276
34.032984,800,861.845257
48.203893,800,862.240104
-25.074472,800,863.82435
-30.381851,800,864.182699
-41.575721,800,865.827514
58.822996,800,866.217236
13.901789,800,866.666137
1.686335,800,868.520889
-18.119004,800,868.901795
-46.397368,800,870.675494
-26.95934,800,871.155327
-5.260056,800,871.56538
0.572867,800,873.538192
-72.54976,800,874.030504
-28.525993,800,875.729037
-30.030234,800,876.143378
-33.787402,800,876.528244
